run	study	input_ng	arm	vaf	target_depth	replicate	enzyme	reads	barcodes	molecules	amplicons	amplicon_share	molecules_per_amplicon	reads_per_molecule	barcode_error	barcode_phred	saturated	payload_clonality	mean_consensus_phred	groups_split	genome_equivalents	molecules_per_geq	variant_molecules	p_enough	label	panel_amplicons
SRR8255830	PRJNA507366		WT	0.0		2	Platinum	2130072	277588	261597	3	0.8889	87199	8.14	0.000789	31.03	0	0.34875	35.89	207	0		0.0	0.0	Platinum2|Wildtype	3
SRR8255835	PRJNA507366		WT	0.0		3	Platinum	2305709	265975	247631	3	0.8962	82544	9.31	0.000806	30.94	0	0.34365	36.2	313	0		0.0	0.0	Platinum3|Wildtype	3
SRR8255839	PRJNA507366	50	0.125%	0.00125		0	Platinum superfi	3866502	232899	219857	3	0.8867	73286	17.59	0.000333	34.78	0	0.2806	37.45	1294	15152	4.84	91.61	1.0	3plx Platinum superfi 50 ng 0.125%|0.125% VAF	3
SRR8255838	PRJNA507366	70	0.031%	0.00031		1	Platinum superfi	3587372	260619	249325	3	0.8919	83108	14.39	0.000306	35.15	0	0.30475	37.89	1060	21212	3.92	25.76	1.0	3plx Platinum superfi 70ng 0.031% (1)|0.031% VAF	3
SRR8255841	PRJNA507366	70	0.031%	0.00031		2	Platinum superfi	4371941	293298	279012	3	0.8934	93004	15.67	0.000323	34.91	0	0.3066	37.67	1442	21212	4.38	28.83	1.0	3plx Platinum superfi 70ng 0.031% (2)|0.031% VAF	3
SRR8255840	PRJNA507366	70	0.031%	0.00031		3	Platinum superfi	4259204	290407	277543	3	0.8917	92514	15.35	0.000298	35.26	0	0.30835	37.77	1444	21212	4.36	28.68	1.0	3plx Platinum superfi 70ng 0.031% (3)|0.031% VAF	3
SRR8255843	PRJNA507366	70	0.0625%	0.000625		1	Platinum superfi	3088082	248337	238319	3	0.9006	79440	12.96	0.000313	35.04	0	0.3052	37.99	848	21212	3.75	49.65	1.0	3plx Platinum superfi 70ng 0.0625% (1)|0.0625% VAF	3
SRR8255842	PRJNA507366	70	0.0625%	0.000625		2	Platinum superfi	4332546	297148	283022	3	0.8982	94341	15.31	0.000324	34.9	0	0.31175	37.76	1507	21212	4.45	58.96	1.0	3plx Platinum superfi 70ng 0.0625% (2)|0.0625% VAF	3
SRR8255845	PRJNA507366	70	0.0625%	0.000625		3	Platinum superfi	3401134	265196	253907	3	0.8986	84636	13.4	0.000321	34.93	0	0.30655	37.86	1013	21212	3.99	52.9	1.0	3plx Platinum superfi 70ng 0.0625% (3)|0.0625% VAF	3
SRR8255834	PRJNA507366		WT	0.0		1	Platinum_Hifi	1918691	301082	285251	3	0.9078	95084	6.73	0.000795	31.0	0	0.3024	37.22	225	0		0.0	0.0	Platinum_Hifi1|Wildtype	3
SRR8255848	PRJNA507366		WT	0.0		2	Platinum_Hifi	2033815	238212	237453	3	0.8979	79151	8.57	9.6e-05	40.16	0	0.29945	36.03	304	0		0.0	0.0	Platinum_Hifi2|Wildtype	3
SRR8255849	PRJNA507366		WT	0.0		3	Platinum_Hifi	1501428	218317	205028	3	0.9083	68343	7.32	0.000832	30.8	0	0.3048	37.55	118	0		0.0	0.0	Platinum_Hifi3|Wildtype	3
